Malaysia,39,-117,201,53,214
Philippines,115,94,293,1,52
Singapore,124,211,127,338,630
South Korea,56,20,266,-228,203
Taiwan,19,27,80,99,57
Thailand,9,7,-42,160,190
Other,-42,-19,30,-3,16
Afghanistan,(*),4,1,(*),(*)
Bangladesh,-10,(*),-1,(*),-1
Brunei,1,(*),(D),(*),24
Burma,(D),(D),(*),(*),(*)
Fiji,-3,2,1,4,-7
"French Islands, Indian Ocean",-2,(*),2,2,-1
"French Islands, Pacific",1,4,(*),-8,-5
Macau,0,(*),(*),(*),(*)
North Korea,0,1,(*),(*),(*)
Pakistan,1,-1,16,-6,5
Papua New Guinea,2,-19,4,1,-2
People's Republic of China,(*),0,-2,-3,1
Sri Lanka,(*),(*),1,(*),1
Tonga,(*),(*),(*),(*),0
"United Kingdom Islands, Indian Ocean",0,(*),(*),(*),(*)
"United Kingdom Islands, Pacific",(D),(D),-1,(D),1
Vanuatu,3,(*),(*),(*),0
Vietnam,(D),(D),-3,-1,(*)
Western Samoa,(D),(D),(D),(D),0
Unallocated/1/,0,1,-1,(*),(*)
,,,,,
International/2/,-165,-86,64,179,667
