country_name,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976
Cameroon,1,1,-1,1,(*),1,1,(*),1,4,4
Central African Empire,(*),(*),1,1,(*),1,(*),1,1,(D),-2
Chad,(*),(*),(*),0,1,1,(*),2,-1,(D),-1
Congo,(*),(*),2,-1,3,1,-3,1,2,(*),-2
Djibouti,(*),(*),0,0,(*),0,0,0,0,0,0
Egypt,25,21,7,(*),17,-5,21,26,56,(D),137
Ethiopia,1,(*),-1,-1,2,2,7,8,7,2,1
Gabon,4,3,-2,(*),(D),(D),1,5,17,10,29
Gambia,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),1
Ghana,5,-6,-2,9,17,7,13,7,19,11,2
Guinea,2,(D),5,6,3,14,4,(D),(D),(D),(D)
Guinea-Bissau,2,(*),(D),(D),1,(*),1,4,1,(*),(*)
Ivory Coast,1,1,(*),-2,5,1,-1,1,1,5,(D)
Kenya,-2,1,-4,1,8,1,2,13,16,11,18
Lesotho,(*),(*),0,0,0,1,3,(*),(*),(*),(*)
Madagascar,(*),(*),1,2,18,9,(*),1,-3,-3,-3
Malawi,1,(*),(*),(*),(*),(*),(*),(*),1,(*),1
Mali,(*),1,(*),1,(*),1,1,(D),2,-3,-1
Mauritania,(*),(*),3,-2,1,(*),(D),(D),1,-1,(*)
Morocco,2,3,3,2,1,3,5,-2,-3,1,4
Mozambique,(*),(*),1,2,2,3,(D),(D),(D),(*),(*)
Namibia,(*),(D),-10,(D),-11,-1,3,2,4,1,2
Niger,(*),(*),(*),(*),1,2,2,5,9,9,(D)
Rhodesia,-1,2,1,3,13,(D),9,12,9,5,5
Rwanda,(*),(*),(*),-1,(*),(*),(*),(*),1,(*),-1
Senegal,1,1,1,3,(D),(D),1,2,-3,-8,-4
Sierra Leone,(*),-1,-1,1,(*),(*),(*),-1,1,-1,1
Somalia,1,(D),(D),(*),(*),(*),(*),3,2,(D),(D)
Sudan,-1,(D),-1,-1,(*),(*),(*),2,2,4,9
Swaziland,(*),(*),(*),0,0,0,0,0,(*),(*),(*)
Tanzania,(*),1,(*),(*),1,2,(*),3,5,2,-2
Togo,(D),(D),3,1,1,1,(*),-1,(D),1,(D)
Tunisia,-1,2,(*),(*),1,1,(*),-3,-2,5,-2
Uganda,(*),(*),2,(*),(*),(*),1,(*),(*),1,-2
Upper Volta,(*),(*),(*),(*),(*),(*),0,(*),1,1,(*)
Western Sahara,(*),(*),(D),(D),(D),(*),(*),(*),(*),(*),(*)
Zaire,(*),1,2,1,6,16,5,9,10,6,33
Zambia,(D),(D),24,26,10,8,2,(*),-8,6,-3
Unallocated/1/,(*),(*),(*),-1,-1,(D),(D),2,(D),(*),(*)
,,,,,,,,,,,
Middle East,134,149,46,-56,-38,-250,38,"-1,098","-6,661","2,393",757
Iran,35,7,71,19,-83,-4,4,-184,-690,463,-263
Other,99,142,-25,-76,45,-246,35,-914,"-5,971","1,930","1,020"
Bahrain,-2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
Iraq,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
Israel,4,2,-1,11,8,6,23,35,21,42,28
Jordan,(D),(D),(D),(D),(D),(D),(D),-1,1,6,-2
Kuwait,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
Lebanon,4,3,-2,8,1,-3,-1,4,22,20,-26
Neutral Zone,(*),(*),0,0,0,0,0,0,0,0,0
Oman,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
Qatar,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
Saudi Arabia,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
Syria,1,(*),-1,-2,3,1,(*),-1,-1,1,-1
United Arab Emirates,(D),(D),(D),7,22,11,17,22,-27,34,49
Yemen (Aden),-2,2,-1,(*),(*),(*),(*),(*),(*),1,(*)
Yemen (Sanaa),(*),(*),0,0,0,0,0,0,(*),(*),(*)
Unallocated/1/,(D),(D),(D),-1,12,13,(D),(D),(D),(D),(D)
,,,,,,,,,,,
Other Asia and Pacific,103,209,187,272,289,511,459,620,709,"1,340",160
India,-12,23,17,17,12,25,5,12,13,17,18
Indonesia,-28,1,(D),16,96,181,164,233,-91,910,-118
Philippines,50,63,42,80,-30,23,-4,25,66,14,66
Other,93,122,(D),159,210,281,294,349,721,398,194
Afghanistan,-1,(*),(*),(*),(*),-1,(*),-1,2,1,(*)
Brunei,(*),(*),(*),(*),1,2,(*),-1,1,1,(*)
Burma,(*),(*),(*),(*),(*),(*),(*),(*),17,4,1
Cambodia,-2,1,(*),-2,(*),-1,3,-1,-2,-1,(*)
Fiji,(*),(*),0,0,0,0,0,0,0,0,0
"French Islands, Indian Ocean",(*),(*),0,0,(*),1,(*),(*),2,-1,(*)
"French Islands, Pacific",(D),(D),1,(D),(D),(D),-4,(D),7,(*),1
Hong Kong,35,48,13,37,24,120,133,91,280,55,255
Laos,1,(*),(*),(*),-1,(D),(D),-1,(*),(*),(*)
Macau,(*),(*),0,(*),0,0,0,(*),(*),(*),0
Malaysia,11,-1,8,17,24,29,37,65,140,70,-9
Nepal,(*),(*),(*),(*),(*),0,(*),(*),0,(*),(*)
Okinawa,(*),-1,-1,(*),-2,(*),,,,,
Pakistan,4,18,(*),7,1,6,(D),(D),13,21,(D)
Papua New Guinea,1,1,(D),(D),(D),(D),(D),(D),5,(*),-1
Portuguese Timor,(*),(*),0,0,0,0,0,(*),(*),(*),(*)
Singapore,-3,1,15,22,29,25,59,92,89,133,-24
South Korea,15,23,(D),(D),57,56,12,25,46,130,-77
Vietnam,9,-5,-2,1,11,-1,-4,18,17,-53,-5
Sri Lanka,-1,3,1,(*),(*),-1,-1,1,1,(*),1
Taiwan,16,8,8,7,31,22,23,69,42,25,44
Thailand,6,22,29,22,22,-22,22,11,90,12,18
"United Kingdom Islands, Indian Ocean",(*),(*),0,(*),1,0,(*),1,3,-1,(*)
"United Kingdom Islands, Pacific",(*),(*),(*),(*),1,(D),(D),(D),(D),(D),(D)
Unallocated/1/,(D),(D),(D),1,(D),(*),-3,(D),(D),(D),(D)
,,,,,,,,,,,
International and nec/2/,220,311,363,415,660,623,454,651,"1,115",-270,-20
