country_name,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Latin America and Other Western Hemisphere,"-4,079","-2,637",992,"4,128","7,574","8,598","6,460","9,094","10,141","7,194","12,751","16,895","17,710","16,040","18,138","21,539","16,699","44,658","23,212","25,691","15,192","3,901","32,418",74,"35,672","55,324","63,213","63,420","42,157","70,886","71,573","52,783","56,153","47,978","32,738"
South America,"2,398",-552,396,-547,"1,548","1,158",990,"3,404","1,951","2,893","3,981","5,463","8,642","11,751","7,957","11,628","6,652","12,055","8,117","2,839","-3,631",466,"4,424","5,347","6,584","12,754","11,205","12,494","13,116","19,101","18,768","7,979","8,264","3,549","3,386"
Argentina,163,-79,54,2,271,13,91,59,379,367,558,"1,079","1,455","2,048",371,"1,701",983,"2,954",675,-511,"-1,445",-118,"1,760",859,"4,274",547,"1,542","1,209","-2,772","2,531","1,293","1,631",753,"1,653",719
Brazil,"1,208",-232,477,156,255,"1,185","2,151","3,014",876,890,"2,054","3,263","3,338","6,954","4,159","7,138","4,382","5,672","3,350",113,-266,-290,"2,644","1,400",223,"5,585","3,825","3,500","9,643","9,941","7,940",837,"5,535","1,001","3,097"
Chile,-109,-183,1,93,130,142,273,583,520,174,106,198,"1,875","1,291","1,860",926,324,428,197,"2,746","-1,507",202,912,-425,451,"4,402","3,099","1,892","4,611","4,422","3,740","2,753",227,"1,655",565
Colombia,444,386,-1,-389,227,-160,"-1,045",-152,77,33,406,4,336,164,120,746,-66,593,341,-224,-88,504,20,"1,196",855,404,"1,900","1,712",238,486,"1,506",792,484,847,-219
Ecuador,79,49,-67,-31,137,72,-47,-41,-32,49,12,253,218,113,32,-269,233,82,-322,108,178,243,-837,73,20,-43,128,196,103,101,-28,8,185,-79,14
Peru,193,33,-84,-212,-108,-35,-45,-102,-83,-44,-3,-8,283,334,700,241,50,794,-19,100,-442,296,479,899,229,679,-577,"1,035",805,-633,"1,980",182,893,-368,462
Venezuela,402,-476,53,-189,554,-30,-278,32,177,"1,245",692,555,"1,021",654,775,668,622,"1,396","3,798",461,150,-462,-389,"1,312",508,"1,044","1,115","2,782",470,"2,188","2,201","1,918",-3,"-1,077","-1,349"
Other,19,-50,-38,24,83,-28,-109,10,37,179,155,120,115,192,-59,479,123,135,95,44,-212,91,-166,34,23,137,174,169,18,65,136,-141,190,-83,95
Central America,482,-42,207,-10,-116,"1,411","1,011","1,299","2,611","2,759","1,846","3,253","5,469","4,044","3,810","6,448","6,363","10,766","6,135","14,401","8,529","4,192","8,874","8,873","10,990","13,808","8,653","8,081",302,"8,179","11,721","6,058","6,101","6,875","6,047"
Costa Rica,(*),31,-3,-32,17,36,36,31,43,-37,-147,38,194,271,362,316,607,-474,431,17,63,75,291,"-1,017","1,412",172,574,-197,-79,205,63,-80,451,42,127
Guatemala,-22,-21,37,-20,-65,-6,13,14,10,-16,5,31,16,36,100,24,204,,,,,,,,,,,,,,,,,,
Honduras,33,-33,71,-111,-4,2,55,11,3,-2,-16,-51,32,-8,-26,43,-53,197,59,-157,22,83,193,88,36,71,173,20,200,-107,75,49,-43,412,-12
